,AC SN,EICAS Message,MDC Message,LRU,ATA,B1-Equation,Type,Equation Description,Total Occurences,Consective Days,Consecutive FL,Intermittent,Reason(s) for flag,Priority,Known Top Message - Recommended Documents,MHIRJ ISE Recommendation,Additional Comments,MHIRJ ISE Input
9,10197,CAS MESSAGE: L ENG BLEED (AMBER),R FADEC P6 OUT OF RANGE,ACSC 2,21-61,B1-005833,Fault Message,The synthesized P6 pressurecomputed by the R FADEC is notreceived on the Arinc 429 or isset at invalid data.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
23,10242,CAS: L Pack Autofail or Pack Temp,L PACK DISCH. OVERTEMP,TEMP CTRL VLV1,21-61,B1-211941,Fault Message,Check Left Temperature ControlValve. Look in Fault IsolationManual for further fault isolationprocedures.,4,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
36,10200,CAS MESSAGE: L PACK FAULT (WHITE),NO CH A/B XTALK BUS,ACSC 1,21-61,B1-005820,Fault Message,No data is received on the RS422bus input from the oppositeChannel A or Channel B.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
38,10200,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
45,10200, ,NO R-ED-1 BUS INPUT,IAPS IOC 2B,22-12,B1-007082,Fault Message,"IOC 2B is reporting R-EICASDisplay-1 input inactive, whileIOC 2A is reporting R-EICASDisplay-1 input active. Suspect afailed IOC 2B input, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
67,10226,CAS MESSAGE: L PACK FAULT (WHITE),NO CH A/B XTALK BUS,ACSC 1,21-61,B1-005820,Fault Message,No data is received on the RS422bus input from the oppositeChannel A or Channel B.,2,1,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
69,10226,CAS MESSAGE: L ENG BLEED (AMBER),R FADEC P6 OUT OF RANGE,ACSC 2,21-61,B1-005833,Fault Message,The synthesized P6 pressurecomputed by the R FADEC is notreceived on the Arinc 429 or isset at invalid data.,2,1,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
70,10226,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,2,1,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
76,10226, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",4,1,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
80,10143,CAS MESSAGE: R PACK FAULT (WHITE),NO RESPONSE TO CMD,HOT AIR SOV2,21-61,B1-006929,Fault Message,Right ACS controller is not ableto control Hot Air Shut-Off Valveas required.,4,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−61−08−810−802 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
93,10202, ,FAN/ICC SENSOR,IAPS IEC 2,22-12,B1-007121,Fault Message,IEC sensor reports a fault or fanfailure.,3,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
100,10249, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
104,10249,AC BUS 1 if external AC is the only AC power source,NO EXT AC PR SIGNAL,GCU 1,24-11,B1-006884,Fault Message,The command of APU GCU for GTC1 isnot correctly received by GCU1.,4,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 24−21−01−810−807 / Remarks: Crosscheck with EICAS
Follow FIM",0,0,0
109,10328,CAS MESSAGE: L ENG BLEED (AMBER),R FADEC P6 OUT OF RANGE,ACSC 2,21-61,B1-005833,Fault Message,The synthesized P6 pressurecomputed by the R FADEC is notreceived on the Arinc 429 or isset at invalid data.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
110,10328,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
134,10169,CAS: L PACK TEMP,L COMP. DISCH. OVERTEMP,L ENVIRONMNT SYS,21-61,B1-211965,Fault Message,This fault can be caused by someenvironmental condition and islikely not a problem with the ACSCcontroller. Refer to the FaultIsolation Manual for furtherinformation.This condition may not berepeatable and should be underobservation for the next severalflights.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
140,10169, ,NO L-DME-1 BUS INPUT,IAPS IOC 1A,22-12,B1-006968,Fault Message,"IOC 1A is reporting L-DME-1 inputinactive, while IOC 1B isreporting L-DME-1 input active.Suspect a failed IOC 1A input, orwiring.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
180,15107, ,NO R-AHC-1 BUS INPUT,FCC 2,22-11,B1-245113,Fault Message,"AHC2 is strapped. FCC2 isreporting R-AHC-1 input inactive,while AHC2 is present at IOC2 andAHC2 is not reporting an internalor heading fault. Suspect FCC2, orwiring.Engines are running. FCC mayreport R-AHC-1 bus as failed for aperiod of 90+ seconds whilealigning after the R-AHC has beenpowered up.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: Y / In-Service Document: None / FIM Task: 22−12−14−810−819  / Remarks: System message, cross check with PIREPS & EICAS",0,0,0
192,10281,CAS MESSAGE: L PACK FAULT (WHITE),NO RESPONSE TO CMD,HOT AIR SOV1,21-61,B1-006928,Fault Message,Left ACS controller is not able tocontrol Hot Air Shut-Off Valve asrequired.,2,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−61−08−810−801 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
199,10281,TRU FAN FAIL,FAN/OVERHEAT SW,ESS TRU1,24-30,B1-006544,Fault Message,"The TRU has reached excessivetemperature, suggesting a fanfailure or an overheat switchfailure.",4,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
202,10180,CAS MESSAGE: AVIONICS FAN (AMBER),AVIONICS FAN 1 FAIL,AVIONICS FAN,21-61,B1-006083,Fault Message,Low speed has been detected onAvionics fan 1 as it was selectedON or normal speed has beendetected with fan selected off.,4,0,0,0,Total occurances exceeded 2 occurances. ,0,"Known Nuissance: N / In-Service Document: None / FIM Task: 21−24−16−810−803 / Remarks: Crosscheck with PIREPS / EICAS
Follow FIM",0,0,0
207,10180, ,NO L-ED-1 BUS INPUT,IAPS IOC 1B,22-12,B1-007008,Fault Message,"IOC 1B is reporting L-EICASDisplay-1 input inactive, whileIOC 1A is reporting L-EICASDisplay-1 input active. Suspect afailed IOC 1B input, or wiring.",3,0,0,0,Total occurances exceeded 2 occurances. ,0,Known Nuissance: N / In-Service Document: None / FIM Task: 22−12−04−810−819 / Remarks: Crosscheck with PIREPS related to ED1 / Follow FIM,0,0,0
215,10243, ,FCS DIAG CODE=YD DIS,FCC 1,22-11,B1-006679,Fault Message,"When fault is a (YD DISENGAGECODE) detailed information can befound by analyzing the associatedtext for each bit set in label351. Detailed information may befound in the aircraft flipchart,or under ADVANCED DIAGNOSTIC pagesin MDC.",2,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
241,10188,CAS MESSAGE: L PACK FAULT (WHITE),CH B FAULT,ACSC 1,21-61,B1-005815,Fault Message,Channel B of the controller isinoperative or DCUs are notreceiving ACSC1B Arinc 429 bus.,4,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
242,10188,CAS MESSAGE: R PACK FAULT (WHITE),NO ACSC-1B BUS INPUT,ACSC 2,21-61,B1-005835,Fault Message,No data is received on the Arinc429 bus input from the oppositeACSC1 Channel B.,4,0,0,0,Total occurances exceeded 2 occurances. ,0,,0,0,0
